id,question,ground_truth_answer,metadata_scenario
q-001,What is the employee retention period?,90 days,policy_qa
q-002,How do I request time off?,Submit a leave request form through the HR portal at least 5 business days in advance.,process_qa
q-003,What is the maximum number of vacation days per year?,20 vacation days,policy_qa
q-004,Who approves expense reports?,Direct manager,process_qa
q-005,What is the dress code?,Business casual Monday through Thursday and casual on Fridays,policy_qa
q-006,How do I reset my password?,Visit the IT self-service portal,it_support
q-007,What are the core working hours?,10:00 AM to 3:00 PM,policy_qa
q-008,Does the company offer tuition reimbursement?,Up to $5000 per year for approved courses,benefits_qa
q-009,What is the parental leave policy?,12 weeks of paid parental leave,policy_qa
q-010,Where is the nearest office gym?,Ground floor of Building A,facilities_qa
